epoch,acc,loss,val_acc,val_loss
0,0.335,2.2294627124071122,0.31,1.1039408040046692
1,0.345,1.320860569253564,0.39,1.0934139430522918
2,0.35,1.2511403465270996,0.39,1.0945642256736756
3,0.385,1.2165260857343674,0.31,1594.1043090820312
4,0.465,1.155101536512375,0.32,0.9784135830402374
5,0.495,4.874179467260838,0.48,1.054058015346527
6,0.455,1.112654395699501,0.41,1.0980656909942628
7,0.45,1.088184589371085,0.3,1.1520160388946534
8,0.495,1.156688037328422,0.56,1.0966371136903763
9,0.535,1.04366957006976,0.58,0.979249883517623
10,0.55,1.0288801042735576,0.39,1.0951184713840485
11,0.53,1.098597282320261,0.34,3.9591661591165233
12,0.565,0.8984510512650012,0.31,1.1399945223331451
13,0.685,0.8513219355791807,0.55,1.8563409531349315
14,0.675,0.7717905036360025,0.39,5.658785470327129
15,0.645,0.9193308817408979,0.39,1.9945740796625615
16,0.74,0.7994878241419792,0.41,4.004459134608624
17,0.72,0.7040043397201226,0.65,0.7716566628217697
18,0.765,0.6280408702977002,0.44,1.053774113059044
19,0.745,0.5738406792865135,0.46,1.724424987155944
20,0.765,0.5312541983391565,0.31,1.6322551202774047
21,0.74,0.5748486025896272,0.61,1.6966542553219188
22,0.81,0.4359045770764351,0.7,0.8826272494593286
23,0.755,0.7216130713839084,0.31,1.3966309666633605
24,0.835,0.4417366557307469,0.45,3.0230678114548573
25,0.78,0.5860408239427488,0.34,1.2366020667552948
26,0.795,0.49703729840926825,0.56,1.0344067581370473
27,0.845,0.6853453491034451,0.45,5.13430678381064
28,0.815,0.48811150567198636,0.59,1.076026895691175
29,0.815,0.528469778994272,0.31,1.5283173829317094
30,0.745,0.7313793861423619,0.57,0.9333654688298703
31,0.875,0.3863468883265159,0.3,1.4248020005226136
32,0.885,0.3969776551586983,0.43,7.49358101375401
33,0.79,0.6114780201086978,0.46,0.9882728260755539
34,0.84,0.3823660683051821,0.26,1.1962899351119995
35,0.845,0.4174171061240486,0.84,0.43049283071470656
36,0.92,0.3997265848741154,0.31,1.2626617813110352
37,0.88,0.39514460913083865,0.33,1.6197885173559188
38,0.845,0.39943312047695145,0.72,0.608531734174685
39,0.89,0.29063683325751183,0.58,5.268187789906851
40,0.85,0.43000347392206095,0.47,2.8709326736314233
41,0.91,0.2551312777978001,0.72,0.6181000648477493
42,0.92,0.3030189442294565,0.59,1.4569546337498442
43,0.925,0.269586198079495,0.65,1.0615747393870334
44,0.895,0.36981986993983357,0.78,0.7535521545630217
45,0.915,0.26735052184452796,0.31,3.033221451342106
46,0.925,0.3781070474947501,0.58,4.354766675484943
47,0.925,0.25695497670752615,0.31,2.860772640109062
48,0.935,0.17234670603621052,0.39,49.79529628753662
49,0.9,0.3320225845301593,0.4,5.56401461245924
50,0.945,0.18527586876968768,0.62,0.85401730671525
51,0.885,0.3319281711997047,0.39,30.500116691589355
52,0.93,0.1507661950598157,0.91,0.25301443697325793
53,0.81,0.6176402157447956,0.9,0.30824462737422437
54,0.935,0.20732889704963664,0.32,2.6251632618904113
55,0.9,0.3761034930911484,0.9,0.34508309885772176
56,0.935,0.27343699471464555,0.5,2.4563930781697856
57,0.91,0.26349204836496937,0.74,1.3379349044437914
58,0.92,0.28178228692260743,0.72,0.63548713658005
59,0.905,0.35613448044855345,0.8,0.4458749247487867
60,0.945,0.15845805820688258,0.89,0.7941575578082682
61,0.905,0.3152419655818579,0.84,0.527511378967515
62,0.955,0.13240201600910306,0.86,0.32182826652053054
63,0.93,0.3430657059118773,0.91,0.20493356676786761
64,0.98,0.19566380347520662,0.96,0.23213559062892095
65,0.925,0.23181143915316862,0.94,0.38283268484919913
66,0.945,0.17258787918293528,0.39,54.592545441389085
67,0.91,0.278817621287443,0.85,0.5575635487477826
68,0.93,0.3804668272379971,0.52,1.2092483405023813
69,0.905,0.3716380354811356,0.33,1.5396463644504548
70,0.93,0.1793116980366355,0.76,0.5047957888105884
71,0.945,0.2079847676494802,0.84,0.527942089348653
72,0.925,0.24770919653954532,0.4,47.36500492095947
73,0.91,0.36040476806178035,0.82,0.36540200315808763
74,0.945,0.19295146387963405,0.89,0.3734716818249853
75,0.98,0.06263847692346189,0.88,0.3418192462767547
76,0.91,0.30744895573651687,0.37,1.2763259559869766
77,0.955,0.19102013979914026,0.93,0.2049412241193204
78,0.92,0.22242275721870577,0.77,0.4877526209165808
79,0.93,0.24170553139665027,0.31,1.1868324398994445
80,0.935,0.2881365713725281,0.39,58.048151512146
81,0.935,0.31602096101099997,0.9,0.6700915845404188
82,0.945,0.1926582588341574,0.9,0.44088003027352324
83,0.92,0.312609413763983,0.64,1.5306052544503472
84,0.965,0.1255044905114415,0.92,0.362960861492586
85,0.945,0.20908352866713031,0.75,0.47760677402046897
86,0.93,0.23081786467241325,0.31,3.7005466471984985
87,0.945,0.19213290027056917,0.97,0.16946055926881384
88,0.98,0.04983500602399683,0.98,0.08553792771319003
89,0.955,0.2682890556890884,0.66,0.9396123681819517
90,0.9,0.4328155882652149,0.39,97.19483238220215
91,0.95,0.20947102804369053,0.79,0.6872683647514941
92,0.955,0.1739404915122129,0.84,4.259011870589295
93,0.92,0.5143645411439248,0.8,0.413583431686593
94,0.955,0.3859811824036282,0.84,0.5394599182467755
95,0.905,0.33533861462392767,0.89,1.0271797883832394
96,0.95,0.21202201376097662,0.96,0.1499483980093828
97,0.975,0.1369797537703764,0.31,2.213771496117115
98,0.96,0.15093905606813082,0.92,0.22558934863226482
99,0.94,0.16101786932174608,0.7,1.1716284684209677
100,0.935,0.4340374784579221,0.88,0.45252520578948763
101,0.955,0.19597566493098434,0.81,0.6461396757482948
102,0.935,0.3051468888733947,0.87,0.3892691456048623
103,0.96,0.37824981498706833,0.42,2.549616721831262
104,0.945,0.29823143660210677,0.68,1.7166240305136302
105,0.94,0.22486534245930526,0.32,1.950625479221344
106,0.945,0.2132940095769923,0.71,0.7806071205881381
107,0.96,0.11784782876929999,0.9,0.6438221481173195
108,0.975,0.1582151520581386,0.79,0.598956162919639
109,0.97,0.11210591019630453,0.89,0.7458978038453727
110,0.935,0.18666391578866204,0.74,1.028055470263862
111,0.965,0.3119702010516998,0.67,0.67743732444942
112,0.955,0.172709187146134,0.72,0.7641136260842893
113,0.93,0.333123316529438,0.9,0.47727436805315504
114,0.975,0.05755358950990992,0.82,0.6829787151059463
