epoch,acc,loss,val_acc,val_loss
0,0.315,1.3127525608986617,0.36,934.5234892291483
1,0.33,1.2347201371192933,0.22,22.142776316404344
2,0.3,1.2038851261138916,0.4,60.05462149993378
3,0.28,1.184540367126465,0.22,474.12011947631834
4,0.35,1.1727513402700425,0.39,196.22966954231262
5,0.34,1.1707725137472154,0.39,415.5018408639316
6,0.29,1.159527377486229,0.31,4.678944300413132
7,0.38,1.1565540730953217,0.38,1.1059804332256318
8,0.36,1.1426694232225418,0.33,3.5860153031349182
9,0.4,1.1324579799175263,0.38,1.1971301996707917
10,0.33,1.1634783387184142,0.38,1.1102046418190001
11,0.345,1.1625881034135819,0.22,1.1057665717601777
12,0.285,1.158665236234665,0.24,1.1594971704483032
13,0.31,1.169420617222786,0.24,4.938924343585968
14,0.405,1.1489634275436402,0.42,1.0735649740695954
15,0.405,1.1229723602533341,0.39,1.5634537051618098
16,0.48,1.0798146784305573,0.44,2.673403911186033
17,0.42,1.0998763447999955,0.47,1.7500326228141785
18,0.345,1.1647184723615647,0.41,4.178669639419895
19,0.375,1.1367193859815599,0.38,1.0856303799152374
20,0.37,1.134707617163658,0.22,1.1178714263439178
21,0.465,1.075473827123642,0.22,1.0677587687969208
22,0.415,1.0558155024051665,0.45,1.0809064948558806
23,0.54,0.9886106802523136,0.54,2.136934303045273
24,0.445,1.0655458149313928,0.23,1.2931432449817657
25,0.5,1.0132194674015045,0.38,5.231364905734081
26,0.6,0.9581754553318024,0.49,3.2860503143072126
27,0.565,0.9371372276544571,0.39,1.7361166819930076
28,0.555,0.937008221745491,0.56,0.7272039297223091
29,0.57,0.9277160808444023,0.59,1.4470793357584626
30,0.715,0.7646656137704849,0.22,15.614227171298117
31,0.6,0.898380591571331,0.74,0.6527561180666089
32,0.62,0.8723193119466305,0.44,1.3172886875271796
33,0.72,0.7705206518992782,0.43,5.459460548970383
34,0.715,0.7825621246546507,0.66,1.5869013069476932
35,0.73,0.7018406073749065,0.53,0.961354465559125
36,0.67,0.87113560333848,0.46,1.7755005395412444
37,0.665,0.7796090591698885,0.52,4.512078786045313
38,0.715,0.7565274843573571,0.91,0.3095344328507781
39,0.79,0.5776997562125326,0.74,0.8275219669705257
40,0.635,0.7945240664482117,0.85,0.3975402991432929
41,0.75,0.6283376433700323,0.87,0.4719337859749794
42,0.825,0.5584016313031316,0.74,0.8420453347149305
43,0.76,0.5930634035728872,0.57,5.931548197620577
44,0.83,0.44897257410921154,0.89,0.37407742500305174
45,0.785,0.616667161504738,0.87,0.40113749116659164
46,0.795,0.5652221415750682,0.92,0.2924690112471581
47,0.825,0.5202440238650888,0.71,0.7316667551873252
48,0.805,0.46532699579605835,0.71,0.6048966091871262
49,0.855,0.4032346007600427,0.66,0.8645532058179378
50,0.885,0.2963462735901703,0.85,0.5295227739872643
51,0.9,0.3408088317658985,0.61,1.5484917470486834
52,0.85,0.4384028796880739,0.59,3.293690042886883
53,0.9,0.31380582259676887,0.92,0.264814476063475
54,0.885,0.37544297984160946,0.96,0.1910236387536861
55,0.88,0.3770055219734786,0.8,0.5062388414749875
56,0.88,0.4148239204863785,0.59,1.1786541273468174
57,0.935,0.2102139111084398,0.91,0.2756631524299155
58,0.895,0.3041339965908992,0.95,0.19393204970285297
59,0.93,0.24573470307252138,0.94,0.2969483164791018
60,0.88,0.39781376291415654,0.55,2.5979690760932863
61,0.925,0.32198356462002264,0.92,0.21128040564770345
62,0.925,0.31037859349453356,0.75,1.0304757132008673
63,0.935,0.21750993807974736,0.92,0.223851894417312
64,0.89,0.3069577212652075,0.97,0.08905987514473963
65,0.965,0.16762275146818864,0.95,0.10916907487538992
66,0.94,0.2643815662520865,0.73,1.0275640921201556
67,0.935,0.15678090006447745,0.78,0.7184922197088599
68,0.93,0.22725810849438857,0.88,0.4014447313424898
69,0.905,0.30507368630256676,0.68,1.0031890607438982
70,0.92,0.31553751087136334,0.97,0.119323419330467
71,0.935,0.20084766458721787,0.92,0.20302948572745663
72,0.975,0.17458560513749036,0.5,15.98704518690167
73,0.935,0.275998551230623,0.94,0.3136090913461521
74,0.905,0.37682595299280364,0.84,0.42987733913279946
75,0.95,0.17137639248358028,0.46,3.237541477493942
76,0.92,0.22206365462134273,0.64,1.3077430122438818
77,0.935,0.16556379566751275,0.8,0.6578291078004941
78,0.92,0.30953415499905534,0.76,0.6430211845226586
79,0.945,0.1438446347025001,0.66,1.050974555015564
80,0.945,0.22647648086740446,0.89,0.39938784173689784
81,0.94,0.19601469129851468,0.86,0.49276239921106024
82,0.96,0.12535783990276286,0.45,3.801621569618583
83,0.96,0.2056350459357668,0.78,0.6871198166289832
84,0.945,0.19904502580709674,0.68,1.2232361459499226
85,0.94,0.2223275744677244,0.82,0.6043029123189626
86,0.985,0.06705420374398273,0.83,0.562405661449302
87,0.95,0.2172526082287368,0.71,0.9527606233392726
88,0.92,0.33530375531265233,0.57,2.0297929605282845
89,0.96,0.14772501242418912,0.95,0.19133380850136747
90,0.96,0.11082862030347314,0.91,0.4478263251227327
91,0.975,0.09301136409058813,0.95,0.239090379191839
92,0.965,0.13754894603779577,0.92,0.19799328608434508
93,0.965,0.10708872594705668,0.93,0.46546197294544756
94,0.975,0.08211324495571488,0.76,1.060901065814842
95,0.975,0.08360762451806693,0.94,0.27299811419215986
96,0.935,0.3199075863843854,0.89,0.39652045406979597
97,0.94,0.1968505300232573,0.92,0.43934874491067605
98,0.94,0.20485371790931708,0.81,0.7790706247742492
99,0.96,0.15346938279028108,0.91,0.4907934815844055
100,0.95,0.11392615029465557,0.96,0.2012413766077316
101,0.98,0.06619947087798078,0.93,0.27354055418927603
102,0.98,0.09706354948889043,0.82,0.5050287303712682
103,0.965,0.11339082040296063,0.93,0.37761610675675
104,0.975,0.13691471053461993,0.93,0.3047897184881731
105,0.96,0.22213629558812784,0.85,0.40887879697133483
106,0.99,0.029394463942601305,0.96,0.1521032121701319
107,0.995,0.05783098263322614,0.97,0.19176918120327172
108,0.98,0.09560883065780583,0.88,0.5402704707249358
109,0.965,0.27203462606321166,0.78,0.6005584265902871
110,0.96,0.15632056229382216,0.96,0.09038245776137047
111,0.975,0.09950425532652957,0.9,0.31623667962590846
112,0.91,0.3514989827569684,0.76,1.7548580197421595
113,0.96,0.10629950554617153,0.83,0.6781887839832053
114,0.945,0.25253191344230175,0.39,6.190015738100847
115,0.96,0.18041165633037337,0.69,1.1854463252893948
116,0.98,0.08495276853206633,0.89,0.5230806652616593
117,0.97,0.14420804816114996,0.86,0.4364377148647327
118,0.99,0.022944490601184066,0.94,0.20647689644337333
119,0.97,0.21654512525889877,0.74,1.516604659891018
120,0.965,0.12937498662327318,0.92,0.282990599120385
121,0.98,0.16980733700484707,0.92,0.3321805070134724
122,0.955,0.28295100545142643,0.92,0.36695224880881144
123,0.955,0.16721044555181153,0.95,0.23198406598326982
124,0.97,0.12284505972896681,0.95,0.23169297742133493
125,0.96,0.14638605843713207,0.74,1.9269413184823498
126,0.965,0.15986288158852063,0.82,0.4756098315009149
127,0.975,0.08772645765172882,0.94,0.37264840798859944
128,0.93,0.253935380290925,0.81,0.9195976967242311
129,0.975,0.13640805402796075,0.6,1.322623509207042
130,0.985,0.0660296055899596,0.7,0.9480525154387578
131,0.97,0.12711113873409657,0.93,0.3158739991215407
132,0.96,0.19969868868545176,0.76,1.0241874868888408
133,0.96,0.09968308920865525,0.91,0.3720178370559006
134,0.965,0.12256559454893705,0.92,0.36461299390008206
135,0.97,0.17399167653474693,0.98,0.08913468062495668
136,0.965,0.112915303641439,0.99,0.08741148359027648
137,0.985,0.03374160533614465,0.92,0.2584052464699289
138,0.975,0.056910318615872486,0.9,0.385477023617168
139,0.965,0.2015040891399253,0.53,4.584275174532813
140,0.975,0.06921837343758576,0.98,0.05845795827179245
141,0.97,0.0605841456012487,0.92,0.40295945608100736
142,0.965,0.21172165166972376,0.62,3.4856245225676683
143,0.97,0.15320945820572773,0.94,0.2839829948144779
144,0.99,0.042592116713498135,0.96,0.16840008541575344
145,0.975,0.10887387233513167,0.98,0.08343901588445987
146,0.99,0.02136064392003416,0.9,0.5205902187129868
147,0.99,0.06386857225157992,0.7,1.8718914383950869
148,0.985,0.06287102102603254,0.92,0.25679497588845207
149,0.965,0.20088736665348644,0.8,0.3985610106081731
150,0.965,0.1264259440718928,0.4,7.341857693293132
151,0.98,0.11179146854261819,0.47,2.244659385345876
152,0.99,0.04511259593429628,0.91,0.292718120948939
153,0.955,0.16623970372595864,0.77,0.8156092223800079
154,0.99,0.051782870225320715,0.96,0.3038820737536298
155,0.985,0.07947406397630814,0.92,0.2573554302418051
156,0.98,0.10924146061469027,0.92,0.17957255789927268
157,0.99,0.028116716602711735,0.58,6.611292661159225
158,0.99,0.07665553311658727,0.95,0.1676415242035179
159,0.995,0.013051951321482846,0.89,0.4547098999851251
160,0.985,0.05736272615039951,0.88,0.8145081916704039
161,0.97,0.14779503656403287,0.84,0.5941920672921742
162,0.98,0.09498966897539077,0.82,0.6604053726197889
163,0.975,0.13951607059954355,0.82,0.623753511548457
164,1.0,0.0013555168974436072,0.92,0.25999702388056906
165,0.995,0.07901040717452162,0.76,0.7346692760567436
166,0.985,0.06853279072746002,0.78,2.17930104173365
167,0.99,0.05913795701695175,0.72,0.8451645670121546
168,0.985,0.026366765069822478,0.81,0.6401085243233855
169,0.99,0.04106183827771808,0.96,0.1963911688096291
170,0.975,0.19620203199039515,0.91,0.3199288098409667
171,0.98,0.06422121707099801,0.85,0.5932193532828387
172,0.98,0.09155378629017523,0.96,0.2939567462243008
173,0.99,0.056553392138061084,0.88,0.4610075987213713
174,0.985,0.1865050655482322,0.56,7.635157698383409
175,1.0,0.004481123424160813,0.84,0.3831153880635958
176,0.98,0.09500018450741102,0.92,0.42586509783712245
177,0.985,0.04995899661729648,0.91,0.3263872185506625
178,0.975,0.11304148535243762,0.76,0.983439438607602
179,0.985,0.06679766855194917,0.81,0.744140489532947
180,0.985,0.04227203648354198,0.88,0.5372101739639765
181,0.985,0.06461747995324743,0.97,0.11749673928161883
182,0.98,0.05360465196131326,0.89,0.995891105868559
183,0.995,0.010270913027376878,0.85,0.695109258214432
184,0.965,0.23424972660944465,0.84,0.5824083712393667
185,0.99,0.08724118195579222,0.88,0.809062255093894
186,0.98,0.10343442155656188,0.8,0.7300569137735874
187,0.985,0.05576380837992406,0.91,0.4693663254535875
188,0.98,0.11625727549240107,0.91,0.6764943811966282
189,0.965,0.1507945567259602,0.94,0.3101207634020102
190,0.965,0.1868377432626939,0.9,0.49291359960072895
191,0.99,0.0662529805562529,0.95,0.1012169354687012
192,0.99,0.0379566524904957,0.67,1.9121952041770738
193,0.98,0.08947321000042553,0.97,0.11464011577214478
194,0.985,0.14130003083940854,0.97,0.11440308773204379
195,0.98,0.11573420706743416,0.97,0.1709579887153086
196,0.97,0.1040648133704734,0.87,0.5111649769786163
197,0.985,0.07209771397069037,0.97,0.18121535478105671
198,0.985,0.10133406215996658,0.91,0.7604356783165371
199,0.995,0.02987808279165403,0.96,0.44024525368489315
200,0.98,0.16531151654388426,0.57,5.503792374760237
201,0.98,0.17670375191284649,0.83,0.6276038728048661
202,0.985,0.0771093099382415,0.73,1.1306849326244262
203,0.995,0.020566491196113895,0.94,0.13633613304722075
204,0.99,0.016859180135869387,0.57,6.350938959758016
205,0.975,0.10100121092707941,0.48,7.547808934152126
206,0.99,0.030610048776127562,0.87,0.6601083852291569
207,0.975,0.07033120581634562,0.92,0.5059717507142977
208,0.985,0.08162145008600138,0.98,0.11800503300800301
209,0.995,0.013546866752349302,0.96,0.23778296944162094
210,0.985,0.06865897400379875,0.97,0.133656287510116
211,0.99,0.02057110169790384,0.91,0.5172416177789501
212,0.99,0.04041296009129848,0.94,0.33588865604434204
213,0.99,0.10432026134442211,0.86,0.7568225240906673
214,0.985,0.07172243387630502,0.98,0.1857508566395134
215,0.99,0.03865816808013058,0.91,0.6408206328606804
216,1.0,0.0006559295332150583,0.93,0.2665870643948544
217,0.99,0.12234678764070019,0.97,0.20390298662996797
218,0.985,0.1307170051279541,0.52,6.528161527106821
219,0.985,0.17498474183095797,0.56,4.695674350514445
220,1.0,0.002367557747028144,0.46,10.404847810720762
221,0.975,0.18315364141681234,0.97,0.3703210299174755
222,0.99,0.05938668725952272,0.86,1.426030093247406
223,1.0,0.0005695017869162911,0.91,0.7605316486662287
224,0.975,0.07641354803708847,0.95,0.20645049697519624
225,0.99,0.06686835691164411,0.78,1.6760782440555646
226,0.995,0.019371154702601458,0.98,0.07385243086251585
227,0.96,0.11596065788336755,0.9,0.598036305799817
228,0.99,0.05508834076645844,0.81,1.8590755546553763
229,0.98,0.08471606303228946,0.96,0.12155591001146149
230,0.98,0.036569738891569836,0.94,0.29330594057317966
231,1.0,0.0018306911000850689,0.88,1.3943423478880237
232,0.975,0.09350107054528664,0.96,0.08415416320991681
233,0.985,0.0838163706468643,0.97,0.16528537838043797
234,0.985,0.07649792024425998,0.95,0.09364696011904236
235,0.98,0.07928218318685275,0.96,0.1602686655857331
236,0.975,0.05794371550616269,0.88,0.5769343712539541
237,0.995,0.00901931227083793,0.97,0.12839605456731762
238,0.985,0.15079348125867553,0.82,1.2980864328184634
239,0.995,0.014522984563447104,0.96,0.14150339375045604
240,1.0,0.00012364849117766142,0.95,0.21117679302732825
241,0.98,0.1274268144594609,0.97,0.1297515348331364
242,1.0,0.003186242175614602,0.94,0.20806892574637004
243,0.99,0.09854352740453834,0.69,1.3650329486856936
244,0.99,0.027799626192551302,0.83,0.8321830838703949
245,0.995,0.059597424978388464,0.95,0.1798677606824935
246,0.975,0.285047129832875,0.97,0.08264246523354103
247,0.995,0.012256122181942643,0.51,11.613209413054479
248,0.98,0.07016814930942687,0.42,12.659095344394446
249,0.995,0.03883847902179052,0.58,6.735903455375414
250,0.985,0.02952465708111177,0.9,0.45496641453946324
251,0.985,0.04349703897783076,0.66,1.937803497020289
252,0.985,0.09456008054946168,0.98,0.11650858383842774
253,1.0,0.0011141333535790209,0.99,0.07246178568895971
