epoch,acc,loss,val_acc,val_loss
0,0.105,2.532451833,0.14,957.6707204
1,0.13,2.398351183,0.11,356.2817154
2,0.125,2.417544442,0.09,313.2297072
3,0.15,2.428025305,0.13,398.8838305
4,0.11,2.38844913,0.19,2.264239764
5,0.15,2.382994891,0.22,3.929928663
6,0.14,2.349436456,0.15,4.885242276
7,0.165,2.371487347,0.19,54.19461314
8,0.175,2.352167742,0.1,9.980691552
9,0.19,2.332353121,0.17,4.592620335
10,0.15,2.331246912,0.04,60.63263702
11,0.165,2.300857498,0.17,7.020999823
12,0.14,2.335683014,0.14,15.13581314
13,0.215,2.223798723,0.16,9.741595051
14,0.205,2.176839669,0.22,4.534692352
15,0.155,2.204475038,0.17,1.976365602
16,0.155,2.284788879,0.27,2.029004728
17,0.165,2.259050288,0.23,2.184174654
18,0.22,2.162720212,0.23,2.015818698
19,0.125,2.285670311,0.16,2.152543526
20,0.22,2.231244758,0.16,10.77822442
21,0.195,2.21004731,0.14,2.531645622
22,0.255,2.141981006,0.22,11.41656492
23,0.27,2.008712842,0.32,1.909838903
24,0.265,2.006203943,0.3,2.449628247
25,0.26,2.064917879,0.18,2.302507423
26,0.25,2.047879911,0.33,2.01542082
27,0.215,2.053491734,0.25,3.001765251
28,0.18,2.046867174,0.43,1.991884944
29,0.245,1.995097278,0.27,2.094732761
30,0.28,2.019332456,0.22,19.59805143
31,0.265,1.994759772,0.41,1.695736967
32,0.305,1.884370215,0.34,1.734683148
33,0.315,1.861937276,0.26,2.012125651
34,0.295,1.946804884,0.19,2.841488435
35,0.355,1.839725388,0.29,2.393178155
36,0.375,1.751597147,0.3,1.970727836
37,0.355,1.833966946,0.44,1.526156487
38,0.39,1.687860514,0.35,1.8950518
39,0.42,1.685184059,0.28,5.42901526
40,0.405,1.669425009,0.55,1.34410168
41,0.38,1.67291172,0.33,1.963432275
42,0.395,1.592791811,0.37,1.705702502
43,0.4,1.695765753,0.08,6.598464537
44,0.475,1.448432284,0.48,1.629600864
45,0.445,1.498030201,0.36,2.462653703
46,0.41,1.617620586,0.41,1.711779614
47,0.5,1.389822658,0.47,1.683190263
48,0.45,1.472325972,0.46,1.323012304
49,0.45,1.449194821,0.62,1.211447123
50,0.495,1.369867732,0.56,1.284479622
51,0.475,1.46461154,0.62,1.132311633
52,0.555,1.283626133,0.51,1.474993394
53,0.54,1.284829178,0.59,1.296130602
54,0.59,1.193310355,0.46,1.393105936
55,0.565,1.365143546,0.62,1.097784515
56,0.59,1.19579857,0.44,1.548393461
57,0.54,1.337688629,0.42,1.563072723
58,0.58,1.289090054,0.55,1.474835181
59,0.605,1.263981978,0.57,1.13871968
60,0.57,1.28776915,0.7,0.948006993
61,0.63,1.23801841,0.59,1.286019529
62,0.57,1.238203662,0.58,1.07208115
63,0.57,1.087436433,0.42,2.355733991
64,0.595,1.202098298,0.4,2.244549322
65,0.6,1.146708603,0.7,0.874507212
