epoch,acc,loss,val_acc,val_loss
0,0.1,2.547834351062775,0.1,1825.8488574504852
1,0.105,2.410665160417557,0.21,5.83880576133728
2,0.125,2.3743116843700407,0.14,602.39350856781
0,0.115,2.5750883197784424,0.1,12059.782410407066
1,0.105,2.404350358247757,0.12,4.975505454540253
2,0.105,2.375229277610779,0.07,79.2452696442604
3,0.16,2.3905080449581146,0.13,3.966475713253021
4,0.145,2.406892087459564,0.12,2.5999031591415407
5,0.115,2.389248002767563,0.11,3509.0590927886965
6,0.14,2.3840078246593475,0.13,2.274256749153137
7,0.12,2.371143888235092,0.13,162.5470990961278
8,0.16,2.4097504103183747,0.17,2.389088897705078
9,0.12,2.372098453044891,0.15,2.255579113960266
10,0.13,2.414258291721344,0.1,24.897203290462492
11,0.165,2.3388906288146973,0.08,6676.900329589844
12,0.165,2.3440128064155576,0.19,92.87102921068669
13,0.17,2.280988694429398,0.18,10.10403364419937
14,0.205,2.2958329570293428,0.22,2.1461091232299805
15,0.14,2.368697065114975,0.14,2.263180840015411
16,0.19,2.2716615486145018,0.2,2.0757555389404296
17,0.17,2.250264922380447,0.2,2.119628059864044
18,0.18,2.2240464144945147,0.16,2.332358891963959
19,0.18,2.193776159286499,0.16,2.335931673049927
20,0.19,2.2020483911037445,0.17,2.1373994755744934
21,0.23,2.1745500817894934,0.13,2.738515784740448
22,0.245,2.1470578575134276,0.29,1.9398542141914368
23,0.2,2.159110487699509,0.13,13.572582058906555
24,0.21,2.1040804475545882,0.35,1.9070403242111207
25,0.25,2.0865171271562577,0.21,2.2625399446487426
26,0.295,1.9899162769317627,0.2,2.305734622478485
27,0.285,1.9084751516580583,0.14,3.3670101529359817
28,0.315,1.9656387946009637,0.22,2.6986543887853625
29,0.3,1.8934434466063976,0.18,9.753662353754043
30,0.32,1.8890833872556687,0.29,4.13214313864708
31,0.35,1.844689184129238,0.47,1.785814882516861
32,0.38,1.7998317766189575,0.44,1.77450554728508
33,0.37,1.756289668083191,0.42,1.59657484292984
34,0.365,1.7673175865411759,0.24,2.8774529111385347
35,0.425,1.6959784719347955,0.46,1.5601456034183503
36,0.4,1.6371035116910935,0.44,1.6207715886831284
37,0.505,1.4519564241170884,0.29,2.7115680211782456
38,0.445,1.5762422130256892,0.45,1.866757109761238
39,0.46,1.5989417240023613,0.45,1.8719957277178765
40,0.465,1.6289176455140113,0.5,1.5052626979351045
41,0.47,1.5263516662269832,0.5,1.9089249819517136
42,0.48,1.4830074250698089,0.46,1.5305214270949363
43,0.54,1.4187840608507394,0.27,3.481190081834793
44,0.455,1.4587838350236415,0.37,1.7474769094586373
45,0.515,1.4135452845692635,0.44,2.1090576638281346
46,0.53,1.2587418998777866,0.43,1.946935074031353
47,0.53,1.1893684517592191,0.49,1.6333496997132897
48,0.545,1.3712813106179238,0.55,1.142626967728138
49,0.595,1.2578982849419118,0.51,1.5533275066316128
50,0.585,1.2592098321765661,0.58,1.1186502422764897
51,0.56,1.262676840745844,0.65,0.977266504690051
52,0.615,1.134726048707962,0.63,1.0178370737284421
53,0.57,1.2100215691886842,0.53,1.6059128513932228
54,0.625,1.0373033714853228,0.54,1.52463722884655
55,0.6,1.1546444506198168,0.53,1.283422721028328
56,0.575,1.2748325465992094,0.68,1.0440692910552025
57,0.63,1.1304193900153041,0.67,1.149431888796389
58,0.635,1.1043532678298653,0.55,1.3672475971281528
59,0.665,0.9319514608196914,0.52,1.5940191457048059
60,0.675,1.0207177674025296,0.56,1.6462938836624381
61,0.645,1.0708554790169,0.66,1.0802730842144228
62,0.695,0.9673341797478497,0.66,1.2883677931502462
63,0.63,1.0035681230947375,0.46,1.4435269324481488
64,0.64,1.0673077910207212,0.64,1.114177350117825
65,0.725,0.9585973323509097,0.73,0.8140511798858643
66,0.665,0.9993084630556405,0.65,1.0135202147532254
67,0.72,0.8203262981236912,0.4,3.9053503082692624
68,0.69,0.953289771489799,0.51,1.6698726047575474
69,0.75,0.7910490407422185,0.64,1.0855189698934555
70,0.76,0.8574621944595129,0.66,1.0749459969624877
71,0.72,0.8560183913446963,0.68,1.0058236357569694
72,0.695,0.9139554955018684,0.67,0.7894228629861026
73,0.72,0.9292292389366775,0.55,1.4391491942387074
74,0.645,0.9126775369467214,0.46,2.0081755793094636
75,0.71,0.7170996168116107,0.7,0.7249101662496105
76,0.7,0.7973488198965788,0.73,0.8159920331768808
77,0.735,0.7602612562139984,0.56,2.0286724740848876
78,0.705,0.9573279271461069,0.73,0.6731867120601237
79,0.745,0.7327907321508974,0.66,0.8887742258235812
80,0.72,0.8575799434259533,0.71,0.994990878798999
81,0.755,0.7559272714261897,0.59,1.4461211545858532
82,0.765,0.7930900097917766,0.69,0.9082720627449453
83,0.715,0.8342343642795459,0.79,0.6378804001072421
84,0.775,0.5852708950964733,0.85,0.5407395778084174
85,0.755,0.8359231922007165,0.74,0.785407569349627
86,0.765,0.8133953231060878,0.7,0.8783033114112914
87,0.8,0.6104776117927395,0.71,0.9702535375766456
88,0.75,0.7735677028261125,0.74,0.7495495959161781
89,0.795,0.7611976714315825,0.74,0.7612870520865544
90,0.79,0.6224098151392536,0.72,0.7260816488368437
91,0.755,0.6683481785550248,0.68,0.8409673946842667
92,0.81,0.6480242907663342,0.73,0.8512294952574302
93,0.77,0.8469322843127884,0.66,0.99603805976687
94,0.81,0.6488049191707979,0.71,0.8739050526934443
95,0.815,0.5587079893436748,0.67,1.0345791570015717
96,0.75,0.8502169324387796,0.79,0.6584762133145705
97,0.81,0.5040798000461655,0.76,0.8042020043474623
98,0.79,0.6397385538270464,0.81,0.5878579158941284
99,0.82,0.5738289803499356,0.8,0.6782473312364892
100,0.825,0.6063612939871382,0.86,0.478517791274935
101,0.79,0.6361114218400326,0.78,0.7134776000771672
102,0.795,0.6052033211872913,0.86,0.33599128869129347
103,0.8,0.6834275150267058,0.81,0.4606906563288067
104,0.785,0.6902413733181311,0.79,0.6545045266882517
